venue_id	provider	source_key	issns	source_name	works	rule
management-science	crossref	0025-1909	0025-1909;1526-5501	Management Science	12453	crossref-issn
manufacturing-and-service-operations-management	crossref	1523-4614	1523-4614;1526-5498;1526-5489	Manufacturing & Service Operations Management	1788	crossref-issn
operations-research	crossref	0030-364X	0030-364X;1526-5463	Operations Research	7905	crossref-issn
production-and-operations-management	crossref	1059-1478	1059-1478;1937-5956	Production and Operations Management	3908	crossref-issn
informs-journal-on-computing	crossref	0899-1499	0899-1499;1526-5528;1091-9856;2326-3245	INFORMS Journal on Computing	2641	crossref-title
mind	crossref	0026-4423	0026-4423;1460-2113	Mind	16165	crossref-issn
physical-review-applied	crossref	2331-7019	2331-7019	Physical Review Applied	9046	crossref-title
physical-review-b	crossref	1098-0121	1098-0121;1550-235X;0163-1829;0556-2805;1095-3795;2469-9950;2469-9969	Physical Review B	227852	crossref-title
physical-review-d	crossref	1550-7998	1550-7998;1089-4918;0556-2821;1550-2368;2470-0010;2470-0029	Physical Review D	121196	crossref-title
physical-review-e	crossref	1539-3755	1539-3755;1550-2376;1063-651X;1095-3787;2470-0045;2470-0053	Physical Review E	72434	crossref-title
physical-review-letters	crossref	0031-9007	0031-9007;1079-7114	Physical Review Letters	143718	crossref-issn
physical-review-x	crossref	2160-3308	2160-3308	Physical Review X	3345	crossref-title
american-journal-of-political-science	crossref	1540-5907	0092-5853;1540-5907	American Journal of Political Science	3400	crossref-issn
american-political-science-review	crossref	0003-0554	0003-0554;1537-5943	American Political Science Review	32365	crossref-title
british-journal-of-political-science	crossref	0007-1234	0007-1234;1469-2112	British Journal of Political Science	2698	crossref-title
comparative-political-studies	crossref	0010-4140	0010-4140;1552-3829	Comparative Political Studies	2887	crossref-title
journal-of-politics	crossref	0022-3816	0022-3816;1468-2508	The Journal of Politics	12424	crossref-title
world-politics	crossref	0043-8871	0043-8871;1086-3338	World Politics	2707	crossref-issn
international-organization	crossref	0020-8183	0020-8183;1531-5088	International Organization	4633	crossref-issn
annual-review-of-psychology	crossref	0066-4308	0066-4308;1545-2085	Annual Review of Psychology	1942	crossref-issn
cognitive-psychology	crossref	0010-0285	0010-0285;1095-5623	Cognitive Psychology	1606	crossref-issn
developmental-psychology	crossref	0012-1649	0012-1649;1939-0599	Developmental Psychology	11491	crossref-issn
journal-of-personality-and-social-psychology	crossref	0022-3514	0022-3514;1939-1315	Journal of Personality and Social Psychology	15371	crossref-title
perspectives-on-psychological-science	crossref	1745-6916	1745-6916;1745-6924	Perspectives on Psychological Science	1518	crossref-title
psychological-bulletin	crossref	0033-2909	0033-2909;1939-1455	Psychological Bulletin	10859	crossref-title
psychological-review	crossref	0033-295X	0033-295X;1939-1471	Psychological Review	7004	crossref-title
psychological-science	crossref	0956-7976	0956-7976;1467-9280	Psychological Science	5721	crossref-title
journal-of-educational-psychology	crossref	0022-0663	0022-0663;1939-2176	Journal of Educational Psychology	12003	crossref-issn
journal-of-applied-psychology	crossref	0021-9010	0021-9010;1939-1854	Journal of Applied Psychology	12811	crossref-issn
governance-journal	crossref	0952-1895	0952-1895;1468-0491	Governance	2157	crossref-issn
journal-of-public-administration-research-and-theory	crossref	1053-1858	1053-1858;1477-9803	Journal of Public Administration Research and Theory	1750	crossref-title
public-administration-review	crossref	0033-3352	0033-3352;1540-6210	Public Administration Review	8802	crossref-title
journal-of-policy-analysis-and-management	crossref	0276-8739	0276-8739;1520-6688	Journal of Policy Analysis and Management	5558	crossref-title
journal-of-the-american-academy-of-religion	crossref	0002-7189	0002-7189;1477-4585	Journal of the American Academy of Religion	12765	crossref-issn
american-economic-review	crossref	0002-8282	0002-8282;1944-7981	American Economic Review	5654	crossref-title
brookings-papers-on-economic-activity	crossref	0007-2303	0007-2303;1533-4465	Brookings Papers on Economic Activity	1214	crossref-title
science-research-management	refused	-		科研管理	0	refused: crossref:2661-3751 — Chinese-language venue matched on a translated name with no ISSN to corroborate it
social-sciences-in-china	refused	-		Social Sciences in China	0	refused: crossref:0252-9203 — ISSN mismatch: pack states ['1002-4921'], crossref candidate carries ['0252-9203', '1940-5952']
american-journal-of-sociology	crossref	0002-9602	0002-9602;1537-5390	American Journal of Sociology	27763	crossref-title
american-sociological-review	crossref	0003-1224	0003-1224;1939-8271	American Sociological Review	13227	crossref-title
annual-review-of-sociology	crossref	0360-0572	0360-0572;1545-2115	Annual Review of Sociology	1380	crossref-issn
european-sociological-review	crossref	0266-7215	0266-7215;1468-2672	European Sociological Review	2181	crossref-title
social-forces	crossref	0037-7732	0037-7732;1534-7605	Social Forces	21067	crossref-title
sociological-methods-and-research	crossref	0049-1241	0049-1241;1552-8294	Sociological Methods & Research	1540	crossref-title
sociological-theory	crossref	1467-9558	0735-2751;1467-9558	Sociological Theory	963	crossref-issn
journal-of-marriage-and-family	crossref	0022-2445	0022-2445;1741-3737	Journal of Marriage and Family	7061	crossref-title
social-psychology-quarterly	crossref	0190-2725	0190-2725;1939-8999	Social Psychology Quarterly	1421	crossref-issn
